,best_fitness,mean_fitness
0,-0.6256281407035174,-0.6078391959798995
1,-0.6256281407035174,-0.6207286432160803
2,-0.6256281407035174,-0.6136180904522612
3,-0.6256281407035174,-0.6222361809045225
4,-0.6256281407035174,-0.6179145728643215
5,-0.6256281407035174,-0.6222361809045225
6,-0.6305276381909545,-0.6192462311557788
7,-0.6305276381909545,-0.62643216080402
8,-0.6307788944723616,-0.6135678391959797
9,-0.6307788944723616,-0.6271608040201003
10,-0.6307788944723616,-0.622713567839196
11,-0.6307788944723616,-0.6166582914572863
12,-0.6339195979899495,-0.6240954773869345
13,-0.6339195979899495,-0.6250502512562812
14,-0.6398241206030149,-0.6214824120603014
15,-0.6398241206030149,-0.6259296482412058
16,-0.6398241206030149,-0.6103517587939697
17,-0.6398241206030149,-0.6123869346733667
18,-0.6398241206030149,-0.6109296482412059
19,-0.6398241206030149,-0.6185929648241204
20,-0.6438442211055274,-0.6177638190954773
21,-0.6494974874371857,-0.6194723618090451
22,-0.6526381909547736,-0.6199497487437186
23,-0.6528894472361807,-0.6310552763819095
24,-0.6528894472361807,-0.6212562814070351
25,-0.6624371859296481,-0.6249497487437187
26,-0.665829145728643,-0.6251005025125627
27,-0.665829145728643,-0.6277386934673366
28,-0.665829145728643,-0.6344221105527637
29,-0.665829145728643,-0.6175125628140703
30,-0.6678391959798993,-0.6276884422110551
31,-0.6678391959798993,-0.6329899497487437
32,-0.6678391959798993,-0.637361809045226
33,-0.6746231155778892,-0.6235929648241205
34,-0.6837939698492461,-0.6449497487437185
35,-0.6837939698492461,-0.6323618090452261
36,-0.6875628140703516,-0.6455527638190953
37,-0.6875628140703516,-0.6226884422110551
38,-0.6875628140703516,-0.6224623115577887
39,-0.6875628140703516,-0.6288190954773869
40,-0.6875628140703516,-0.6326633165829144
41,-0.6875628140703516,-0.637964824120603
42,-0.6875628140703516,-0.6357286432160804
43,-0.6875628140703516,-0.6167336683417084
44,-0.6875628140703516,-0.6332663316582914
45,-0.6875628140703516,-0.6298743718592965
46,-0.6900753768844219,-0.6251758793969848
47,-0.6900753768844219,-0.6207537688442211
48,-0.6957286432160802,-0.6160804020100502
49,-0.6957286432160802,-0.6304773869346733
50,-0.6957286432160802,-0.6421356783919598
51,-0.6957286432160802,-0.6164070351758794
52,-0.6966080402010049,-0.6420603015075377
53,-0.6968592964824118,-0.6326130653266331
54,-0.7005025125628139,-0.6293216080402009
55,-0.7005025125628139,-0.6323869346733667
56,-0.7005025125628139,-0.6358793969849246
57,-0.7005025125628139,-0.6451507537688441
58,-0.7040201005025124,-0.6316582914572864
59,-0.7040201005025124,-0.6340954773869346
60,-0.7040201005025124,-0.6208542713567838
61,-0.7040201005025124,-0.6410301507537687
62,-0.7040201005025124,-0.6390954773869347
63,-0.711683417085427,-0.6349497487437186
64,-0.7126884422110551,-0.6552261306532662
65,-0.7126884422110551,-0.6327386934673366
66,-0.7126884422110551,-0.6483417085427134
67,-0.7126884422110551,-0.6299748743718594
68,-0.7149497487437185,-0.6267085427135679
69,-0.7214824120603015,-0.6304020100502511
70,-0.7214824120603015,-0.6436432160804021
71,-0.7214824120603015,-0.6423366834170856
72,-0.7214824120603015,-0.6226884422110555
73,-0.7214824120603015,-0.6426633165829145
74,-0.7214824120603015,-0.6480904522613066
75,-0.7214824120603015,-0.6403517587939698
76,-0.7214824120603015,-0.6511557788944723
77,-0.7341708542713568,-0.6348743718592966
78,-0.7341708542713568,-0.6440201005025126
79,-0.7341708542713568,-0.633316582914573
80,-0.7341708542713568,-0.6397738693467335
81,-0.7349246231155778,-0.638040201005025
82,-0.7349246231155778,-0.6605527638190954
83,-0.7349246231155778,-0.6402010050251257
84,-0.7349246231155778,-0.6570100502512564
85,-0.7349246231155778,-0.6457286432160804
86,-0.7349246231155778,-0.6544221105527638
87,-0.7349246231155778,-0.633643216080402
88,-0.7351758793969848,-0.652537688442211
89,-0.7351758793969848,-0.6446482412060301
90,-0.7351758793969848,-0.6352763819095478
