,best_fitness,mean_fitness
0,-0.6433417085427134,-0.5843969849246231
1,-0.6639447236180903,-0.5896231155778894
2,-0.6781407035175878,-0.5921356783919598
3,-0.6914572864321606,-0.610678391959799
4,-0.6914572864321606,-0.605678391959799
5,-0.7152010050251256,-0.6100251256281405
6,-0.725,-0.6138190954773869
7,-0.728894472361809,-0.6340452261306532
8,-0.728894472361809,-0.6113567839195981
9,-0.7290201005025125,-0.599396984924623
10,-0.7457286432160805,-0.5983668341708542
11,-0.7457286432160805,-0.6238944723618091
12,-0.7503768844221106,-0.5886180904522613
13,-0.7606783919597991,-0.6369849246231156
14,-0.7606783919597991,-0.617286432160804
15,-0.7659547738693468,-0.6397738693467337
16,-0.7743718592964826,-0.6298743718592965
17,-0.7744974874371862,-0.642211055276382
18,-0.7761306532663318,-0.6336180904522613
19,-0.7762562814070353,-0.6294472361809046
20,-0.7762562814070353,-0.6514572864321607
21,-0.7762562814070353,-0.6130150753768846
22,-0.777638190954774,-0.5978140703517588
23,-0.7827889447236183,-0.632010050251256
24,-0.7858040201005027,-0.6240954773869347
25,-0.7858040201005027,-0.6418341708542714
26,-0.7858040201005027,-0.6150251256281407
27,-0.7932160804020103,-0.6455778894472362
28,-0.795603015075377,-0.6223115577889449
29,-0.795603015075377,-0.6330402010050252
30,-0.795603015075377,-0.6385175879396986
31,-0.795603015075377,-0.6285175879396985
32,-0.795603015075377,-0.6220100502512562
33,-0.7964824120603017,-0.6365075376884424
34,-0.7998743718592967,-0.6515577889447235
35,-0.8055276381909551,-0.6510804020100502
36,-0.8055276381909551,-0.653467336683417
37,-0.8055276381909551,-0.6332412060301508
38,-0.8055276381909551,-0.6521859296482412
39,-0.8055276381909551,-0.6653015075376885
40,-0.8090452261306534,-0.6562060301507537
41,-0.8090452261306534,-0.6694723618090452
42,-0.8094221105527641,-0.641180904522613
43,-0.8094221105527641,-0.6510804020100504
44,-0.8115577889447237,-0.6563819095477388
45,-0.819849246231156,-0.6690452261306533
46,-0.82713567839196,-0.649070351758794
47,-0.8280150753768846,-0.6752512562814071
48,-0.8280150753768846,-0.6624874371859296
49,-0.8302763819095478,-0.6682160804020101
50,-0.8340452261306532,-0.6410552763819096
51,-0.8341708542713568,-0.6959045226130653
52,-0.8341708542713568,-0.6344974874371859
53,-0.8341708542713568,-0.6641708542713567
54,-0.8341708542713568,-0.6535175879396985
55,-0.8341708542713568,-0.6645979899497487
56,-0.8350502512562814,-0.6646231155778894
57,-0.8350502512562814,-0.6494221105527637
58,-0.8350502512562814,-0.68678391959799
59,-0.8356783919597991,-0.6410050251256283
60,-0.8356783919597991,-0.6531155778894473
61,-0.8356783919597991,-0.6447236180904522
62,-0.8359296482412061,-0.6622110552763819
63,-0.8368090452261308,-0.6641708542713567
64,-0.8368090452261308,-0.6460050251256282
65,-0.8368090452261308,-0.6396231155778895
66,-0.8368090452261308,-0.6804773869346732
67,-0.8368090452261308,-0.6563065326633166
68,-0.8368090452261308,-0.6620100502512563
69,-0.8369346733668342,-0.6718341708542713
70,-0.8442211055276381,-0.6602261306532663
71,-0.8442211055276381,-0.6747738693467337
72,-0.8442211055276381,-0.6691708542713568
