,n_uses,match_checks,match_count,gene_possible_values,match_probability,empiric
0,30.0,1999.0,31.0,6.0,2.4439980155978595e-23,0.015884535678386574
1,30.0,2590.5,30.0,7.0,2.4439980155978595e-23,0.012779869522490203
2,19.5,4573.5,19.5,35.0,2.4439980155978595e-23,0.004450272220967502
3,2.0,4889.5,2.0,9680854.5,2.4439980155978595e-23,0.00040941658137154553
4,0.5,4705.0,0.5,296572.5,2.4439980155978595e-23,0.00010241704219582139
5,,,,,,
6,,,,,,
